text,label,language
ജീവിതത്തിലെ സങ്കട ഘട്ടങ്ങളെ തന്റേടത്തോടെ തരണം ചെയ്ത മഞ്ജു ചേച്ചി കരുത്തുറ്റ കഥാപാത്രങ്ങൾ തന്മയത്വത്തോടെ അവതരിപ്പിക്കാൻ കഴിവുള്ള ഞങ്ങളുടെ സ്വന്തം മഞ്ജു ചേച്ചി സിനിമ സൂപ്പർ ഹിറ്റ് ആവട്ടെ,0,malayalam
dai raasangala ore like pichayavae iruku,4,tamil
suna h ye bollywood ki kisi movie ka remake h,5,tamil
a b r i d s h i n e,0,malayalam
it s wate now vivegam is king,3,tamil
mani sir padamma ithu apidi therileh,0,tamil
ഗീതു മോഹൻദാസ് wcc ക്ഷമിക്കണം ഞാൻ ഈ പടം ബഹിഷ്കരിക്കുമെന്ന് പ്രഖ്യാപിക്കുന്നു,0,malayalam
3 million views யை தாண்டி விட்டது,0,tamil
467k views one hour mela change aagamale iruku something happened,1,tamil
superrŕrrrrr super vice sir,0,kannada
rajini intha trailer la vara kadasi dialogue paatha yenda unnuma ena nambureenga nu nenaipaaru varanu thaan sonnen yeppanu sollala kanna hahahhahaha,1,tamil
சூர்யா சிறப்பான தரமான சம்பவங்களை இனிமே தான் பாக்கபோர,0,tamil
vijay fan ba but nan dislike pannamatean thala is back,0,tamil
unakku yaravathu palaya friend irukkagala nambathe,0,tamil
trailerye ipdi irukke padam epdi irukkumo,0,tamil
psycho iliyaraja mysskin buhhaaav padithavudan sirithu vidavum,4,tamil
dei loose kuthi gangala hindi kaara thevidiya pasanga la enga amma da ithu enda pannivechiirukinga,5,tamil
editing kevalam enga anna vj sp romba kammiya irukaru,1,tamil
adapavingala super star ah bangam panitinga da,1,tamil
ee dislike kondu ningal enthu needunnu,5,tamil
ippa yenna panna porom sweet saapida porom semma thalaivaaaaa,0,tamil
film kandathin sheshavum trailer veendum veendum kanunnu hangover,0,malayalam
நான் யாரு தல fan க்கு நண்பன் டா தமிழ் ஹாலிவுட் படம் 24 மரண வைட்டிங் தல,0,tamil
superrrr i like it,0,kannada
தன் வீட்டு பெண்ணை ஏமாற்றும் நாய்களுக்கு இந்தப் படம் செருப்படி,3,tamil
സങ്കി ലാൽ,2,malayalam
oruthar mela viswasam katrathukaga innoruthar ah yean asinga paduthuringa அல்டிமேட் ஸ்டார் அஜித் குமார் வாழ்க,0,tamil
ഇനി രാവണന്റെ വരവാണ് shylock,1,malayalam
hindi me bhi release karna ise,5,tamil
salute to sandalwood,0,kannada
ഒന്നും എവിടെയും എത്തുന്നില്ല ഒറ്റക്കണ്ണൻ ദർശൻ ഓരോന്ന് ഉണ്ടാക്കും,2,malayalam
kammara sambhavam madhuraraja trailer undakkiyaa aalanalle trailer undakiyathu cinema idi akathirunnal mathi vargam poloru padam ayalum mathi,0,malayalam
mere paas hai full movies petta,5,tamil
nt kula trending varum nu solravaga up,0,tamil
ഇവിടെ കിടന്ന് കമൻറ് ഇടാതെ തീയേറ്ററിൽ പോയി മാമാങ്കം കാണ് ഇനിയും കാണാൻ ഉള്ളവർ,0,malayalam
2million one day poolumaayillaaaa iragittt great lalettaa,0,malayalam
pettayile dialogue aanenn thonnaathavar like adikk mavane kollaame vidamaatte,0,malayalam
petta movie atta flop old man sotta boy,2,tamil
கைய மட்டும் இல்ல வேற ஏதோ உன்னால வெட்டுவோம்,4,tamil
killerine enikku manasilayi but parayilla b cos it is thriller,0,malayalam
scens la patha thandavam padam mari irukum nu thonuthu enadhan hi fi ah edthalum story one line mokkaya tha irukum pakalam,3,tamil
thala stop fans fight sollama sollitinga anna,0,tamil
diwali kaidhi dha sema ya erukum padam thavari kooda bigil ku poga koodadhi,2,tamil
endu avinja monthaya ivanu body orumathiri arichakk pole,2,malayalam
muttamariyans mammunni myra raja team omkv,1,malayalam
ithe e varesham vallo irangumo,0,malayalam
semmmma mass yenga anna surya vera level super,0,tamil
adengappa final vera level bro sirichi sirichi vairu valikudhu mudiyala saamy podhum,0,tamil
செல்வராகவன் இந்த படத்துல ஏதோ சொல்ல வறார் உண்மையான அரசில சொல்வார் unlike pannavanunga onnu paithiyama iruppan illaina thamarai katchiya iruppan,4,tamil
atha oda daaa yogi babu reaction,0,tamil
samyam kituvane ah mammoninodu onnu para pandaram mamakam kandu kali theernatila oru mamooka fante rothanam annu ithu,2,malayalam
ഇത് പാറ്റൂർ ശ്രീ ബുദ്ധ എൻജിനീയർ കോളേജ് ൽ നടന്ന സംഭവം ആണലോ,0,malayalam
like for singer vijayprakash,5,kannada
ith polathe oombiya trailer njan kandittilla patti okki surajinte appante soubinte pooru,2,malayalam
kill like button for anirundh s bgm,0,tamil
44k likes and 615 dislikes wow unbelievable,5,malayalam
dai pandey nee yeana pandra ah,0,tamil
ഇത് മലയാളം മൂവി തന്നെ അല്ലെ എന്റ്റമോ ഒരു രക്ഷയും ഇല്ല പൊളി,0,malayalam
56k like and 5 1k dislike but view 16k youtube sucks,5,malayalam
dislike adichavan maarude nenjathu irikkatte ente like thendikal,1,malayalam
ijjadhi kola mass trailer,0,malayalam
twitterla wait panna inga release pannitengala,0,tamil
tiktok ದೂಳು ivathinda,1,kannada
unga son a vida neenga ippavum super aa irukeenga,0,tamil
ee christmasile oru mass entertainer aavum ee film,0,malayalam
sakthimaan scene 90s kids life natantha visayam ya,4,tamil
vera level sirichalum morachalum meesaya murukku thalaiva,0,tamil
ஐ லவ் யூ சசி அண்ணா பரணி அண்ணா வேற லெவல் மிகப்பெரிய வெற்றி பெற வாழ்த்துக்கள்,0,tamil
yaravadhu jadhi eppadi uruvanadhu pls explain pannunga,0,tamil
பெண் பிள்ளைகளை பெற்ற பெற்றோர்கள் சினிமா தியேட்டருக்கு குடும்பத்தோடு சென்று இப்படத்தை பார்க்க வேண்டும் இப்படத்தை வெற்றி பெற வைப்பதன் மூலம்தான் இவர்களுக்கு நன்றி சொல்வதாக அமையும் அப்பொழுதுதான் அடுத்து இதுபோன்ற படங்களை எடுக்க முன் வருவார்கள்,0,tamil
better vera hero va change pannunga,2,tamil
ivana epdi pathalum comedyathan irukku enamo ponga da,2,tamil
ingane encounteril karanam chaadiyil epol bullet tarachenni nokiyal maty koodulavr correctayi chadunundu anyway crane use chyte chadan patunatu tanne aswasam,0,malayalam
style ka baap rajini jai thalaiva,5,tamil
super song lovley may song,5,kannada
adiiii super ma happie dewali,0,tamil
ഫസ്റ്റ് ഈ ചളി kunna രാജപ്പനെ ചവിട്ടി പുറത്താക്കേ എന്നാലേ മലയാള kunna രക്ഷപെടു,2,malayalam
hands up kannada na thu ninna,2,kannada
best film ide sirr love u alla ಯಾಕೆ ಇ film ಇಷ್ಟ ಅಂದ್ರೆ ಇದರಲ್ಲಿ ಬರುವ ಪಾತ್ರ ನಮ್ಮ್ಗ ಎನೂ link ಇದೇ ಅನ್ನೋ ಥರ ಇದೆ supper sir,3,kannada
ente ponoo kidu trailer ithu porikkum,0,malayalam
v ನಾನು ಅಷ್ಟೇ ಯಶ್ ಫ್ಯಾನ್,0,kannada
10k comment daa kabi nesh bro aasai tiinthiricha,5,tamil
mrg elunthathum bathroom pohama pakravanga like podathinga poi velaya parunga,1,tamil
ഇതെക്കെ കാണുബോൾa fans venda thouna ellaa super stars policyaaaa cinima polliqu trailar kidukkiiii,5,tamil
ittimani enna cinima chali padam pottan pokunna padam odiyanil kalam van durathan boor padam ennulavar like adiche,3,malayalam
எல்லா புள்ளிங்களுக்கும் கொஞ்சம் பயம் வந்துருக்கும் போலயே புள்ளிங்க எல்லாமே இந்த நாட்டோட சாபக்கேடு,3,tamil
உலகத்தரத்திற்கு ஒளிப்பதிவு காட்சியமைப்புகளின் நேர்த்தி மற்றும் கதை சொல்லும் விதம் என இப்பட முதல் தோற்ற வடிவமைப்பு பார்வையாளர்களாகிய நம்மை பலமாக மிரட்டுகிறது வாழ் அல்லது வாழவிடு என்பதை நிச்சயம் வலியுறுத்தக்கூடிய விருதுகளை தன்பக்கம் வீழ்த்தக்கூடிய படமாக அமையும் அமைய வாழ் த்துக்கள் நன்றி,0,tamil
malaya cinema abhimanikkunnu ingane oru nadane kittyathil wish u a very swt hpy bthday mammooka,0,malayalam
daily pathalum konjam kooda bore adikkala,0,tamil
telugu karthi fans likes here,0,tamil
still 9989 views pending for 11 m,0,tamil
ಭರ್ಜರಿ ಆಪರೇಷನ್ ಗುರುವೇ,1,kannada
പടം click ആവില്ല എന്നാണ് vichariche ഇതിപ്പോ colour ആണ് full comedy with പൊളി climax pratheekshikunnu സിദ്ദിഖ്,0,malayalam
nijvaaglu sir olle information kottidiri,0,kannada
ಈಗ ಎಲ್ಲಾ ಮಕ್ಕಳಿಗೂ ಎಗ್ಜಾಮ್ ಟೆನ್ಶನ್ ಎಸ್ಎಸ್ಎಲ್ಸಿ ಪಿಯುಸಿ ಮುನ್ನಾದಿನ ಅವರ ಮನೆಗಳನ್ನು ಸ್ವಚ್ಛ ಮಾಡಿಕೊಳ್ಳುವುದು ಬಹಳ ಇದೆ,0,kannada
dislike adikuna guhikolde oonum parayan illa,3,malayalam
dislike potta parathesi naya ellaam seruppaala adikanum,1,tamil
indha trailer ah dislike pannuna komali yaru,2,tamil
intha madiri oru trailer 269 viewers unlike panrangale avangalukku ennava irukkum,4,tamil
oru vela paruthiveeran jaila irudhu release aagitaro,0,tamil
trailer kaduppam odiyan pole akathirunnal mathiyayirunnu,0,malayalam
hindi where,5,kannada
ee trailer malli malli replay chestundhi rajni meeda abhimanam tho kadu shankar sir meeda prema tho,5,tamil
please kaappaanla niddippin nayagan suriya nu podunga ithu intha bros dream,0,tamil
chaanakahinalkathu ulla potimaaankal dislke yethra adichitu kaaryamilla yeriyunna marathil bhalamundu,1,malayalam
தேவர்ஆட்டம் பரியெறும் பெருமாள் அசுரன் திரௌபதி போன்ற எந்த சாதி மதம் சார்ந்த படங்களாலும் ஆரோக்கியம் அல்ல நாட்டுக்கு,0,tamil
mozhi padam ms baskar mari samuthirakani 2005 2010 la freeze aitaru pola innum this type movie cringe cringe,3,tamil
innale rathri 10manikk nokiyappol 200k views ippoyathaa 2m views trailer pwolichu lalettan prithvi combo padam 150 cr nedumennurappullavar like adiii,0,malayalam
ratchasan ku aparam syco than kandipa myskin mylkal,0,tamil
ட்ரைலரை பார்க்கும் போதே திர்ளாரான ஆன படம் என்று நினைக்கிறேன் படம் வெற்றி பெற வாழ்த்துக்கள் புதிய முயற்சி,0,tamil
ബേബി മോൾ ഇവൾ പൊളിക്കും മലർ മിസ്സിനെ പോലെ,0,malayalam
ഏഷ്യാനെറ്റിൽ മൂവി കണ്ടതിനു ശേഷം ട്രൈലെർ കാണാൻ ആരെങ്കിലും വന്നോ chaavandu nokkanamjoju george,0,malayalam
എന്ത് ട്രാക്ക് ആണല്ലേ that s so real man,0,malayalam
pakkurathuku chinna payan mari style ah irukeenga,0,tamil
tamil people always like mamooty sir,5,malayalam
yuvan and selva cambo master pieces,0,tamil
న ప ర ఉధ త,5,kannada
super sir telgu ntr fance sapotinge movi,0,tamil
20 times pathuten salikave maatinguthuda vera level da,0,tamil
travaillez sur internet sans investissement mainofnews com p119718,0,tamil
fight vere level teateril paper kure keerendi varum ichayoooo,0,malayalam
ithpole oru kidu trailerinu dislike adikkana myrroli mammoonni fansin naduviral namaskaaram ella mamooty fansinem udheshichalla chila choriyanmaare udheshich paranjatha,3,malayalam
yoov trumpuh nee intha maari padam edukkuravangalayum realaavey pesuravangealayum nee kollu yaa nee thaan thairiyamana aalacheyy,3,tamil
thalaiver mass aakko anirudh semma music,0,tamil
nabilal s ಕಗಬಜ,0,kannada
trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal,3,malayalam
தரமான சம்பவம் இது ஒரு சமூக விழிப்புணர்வு படம்,0,tamil
bgm therikkidhu yuvan da hero,0,tamil
ಟೀವಿ ನೈನ್ ಕನ್ನಡದಲ್ಲಿ ಈ ವಿಚಾರ ತೋರಿಸಿದ್ದಾರೆ,0,kannada
akshay kumar sara rock amazing look,5,tamil
hey vijay darling sir enga ena pandraru,0,tamil
please upload queen 2018 malayalam full movie,5,malayalam
vaa thalaivaa evan vandaalum namma daan gethu,1,tamil
i am bangali double kundi mohannlal,2,malayalam
ആമിനതാത്താന്റെ കളക്ഷൻ വിലയിരുത്തൽ budget 100 cr pre bus 1000 cr 100 countries release 10 language കേരളത്തിലേ എല്ലാ തീയേറ്ററും എന്നിട്ടും തികഞ്ഞില്ലെങ്കിൽ പൂജപ്പുരയിൽ പ്രൊജക്ടർ വച്ചു പ്രദർശനം world wide 25000 screen kerala fd 25 cr fd 500 cr 10 days 4000 cr china collection 15000 cr total collection 40000 cr world highest collection movie ആമിനതാത്ത അറബിക്കടലിന്റെ സിമ്മം,2,malayalam
ikkante voice kelkumbo thanne romanjam bakki pinne parayannoo ikka ningal vere level annu,0,malayalam
marana waiting draupathi release madum paennu paadm epudi ooduthunu madum paru blockbuster varavaikurathu enga vela,0,tamil
52 sec la pathavanga like podunga,0,tamil
yenelbeko gothagtilla nim swabimanakke ondu salam sir,0,kannada
pala padathilum kanda scenugal kooti kuzhucha padam athine kidu mass ennoke parayaan kure andam kammi fansugalum,3,malayalam
eagerly waiting for yuvan s magical music,0,tamil
ஒரு ட்ரைலர் ல நம்ம சொந்தத்த எல்லாம் ஒண்ணு செத்துட்ட தெய்வமே,0,tamil
delipettan manasvekkathe ninte oru padam polum vijayikkilla,2,malayalam
kickass trailer thalaivaaaaaaaa happytears atlee pinteenga bro,0,tamil
தமிழ்நாடு குரும்ப கவுண்டர் பேரவையின் சார்பாக வாழ்த்துக்கள்,0,tamil
chiyan vikram vaera vaera vaera lvl massss adithoooll therikithu,0,tamil
dei appo suriya ku pair ellada antha koo arya ku than pair ra,4,tamil
நல்ல படத்தையெல்லாம் மொக்க ஹீரோவ போட்டு சொதப்புறாங்களேன்டு யாருக்கெல்லாம் தோனிச்சி,1,tamil
super dislike adichavanoke naduviral namaskaaram,4,tamil
இந்து கலாச்சாரம் சார்பாக வெற்றி பெற வாழ்த்துக்கள்,0,tamil
arenkilum poi aa srreeeekumaarane onnu vilich kaanich kodukkedoo entha etha cinemannu,0,malayalam
varlam varlam va varlam va bairava,0,tamil
super super video,5,kannada
eth 14k alavalathikal aanu dislike adichath,1,malayalam
alright kannada people here are the lyrics,5,malayalam
innaki kaalaila 13 6 19 endhichadhum inga vandhavan yaru,0,tamil
பொறையார் நாடார்களின் சார்பாக திரௌபதி வெற்றியடைய வாழ்த்துக்கள்,0,tamil
0 50 aa chiri mass poli bgm,0,malayalam
endaaa intha movie la yu endaa ipdi hot ah dress ah pottu vitrukegaa nengala thiruthave mategada pu la,3,tamil
voice onnitaum movie vere onnitaum,0,malayalam
first time trailer skip panni pakka vachutingalgada,4,tamil
இதை ஏன் டா இவ்ளோ பேர் dislike பன்னிருக்கீங்க ச்சை,4,tamil
pakka thane pore indha raja yude aattathe madhura veera raja,5,malayalam
ನಾನು 15ವರ್ಷ ಹಿಂದೆ ಚಾಮಯ್ಯ ಮೇಷ್ಟ್ರು ಅಶ್ವಥ್ ಸಾರ್ ಇಂಟರ್ವಿವ ನೋಡಿದ್ದೆ,0,kannada
സങ്കി ലാലുണ്ണിയുടെ പടം എല്ലാ ചനകങ്ങളും വിജയിപ്പിക്കണം,2,malayalam
jayam ravi ku mattum thaan ippadiyellam topics kidaikuthu padam super duper fun hit film aa agapothunu ninaikruvanga like potrunga paa,0,tamil
தாழ்த்தப்பட்டோர் இன்றைய தலைவர்களுக்கு இது ஒரு சவுக்கடி,0,tamil
ഒരിക്കലും മോഹൻ ലാലിന് മുസ്ലിം ഭാഷ ശരിയാകില്ല ലാലിന് ലാലിൻറെ ഭാഷ മാത്രമേ പറയാൻ പറ്റു വളരെ മോശം സംഭാഷണമാണ് ഇപ്പോൾ ലാൽ പറഞ്ഞത് ഈ സിനിമ എട്ടു നിലയിൽ പൊട്ടും,2,malayalam
maranamass trailer orupaad ishtamaayi lalettan prithvi combo pwolichadakkum,0,malayalam
centiments irundha appidiye odi poidu kola gandula iruken mavane kollam uda maten visvasam padatha than solraru,2,tamil
ooo odiyan,0,malayalam
ಕೆಲ ದಿನಗಳ ಹಿಂದೆ ಕನ್ನಡದ ನಟ ಒಳ್ಳೆಯ ಕನ್ನಡ ಸಿನಿಮಾಗಳನ್ನು ನೋಡಿ ಅಂತ ಸ್ವಲ್ಪ ಖಾರವಾಗಿ ಹೇಳಿದಾಗ ಎಲ್ಲಾರು ಕೆಟ್ಟದಾಗಿ ಅವರನ್ನು troll ಮಾಡಿದರು ಹೇಳಿದವರು ಮಾತ್ರ ಕೆಟ್ಟವರಾದರು ಆಗ ನೀವು ಸುಮ್ಮನೆ ಇದ್ದಾರಿ ಈಗ ಅನುಭವಿಸಿ ಈ nಪರಿಸ್ಥಿತಿಗೆ ಕಾರಣ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಒಗ್ಗಟ್ಟು ಇಲ್ಲ,1,kannada
வெட்டி முடித்தவுடன் எல்லா ஜாதியினர் மயிர்களையும் கூட்டி பெருக்கி வெளியே தள்ளினான் முடி வெட்டும் தொழிலாளி,0,tamil
madhu hello bro navu tulunad navru tulu namma matru bashe aste abhimana kannada bashe melu ide,0,kannada
2018 christopher from ratsasan 2020 la psycho la irukkura villan kandippa edam pidipparu,0,tamil
thairiyama dewali ku va thalaiva nanga irukom irupom,0,tamil
padam kandittu abhipraayam parayaney yennittu venam poyi kaanan,0,malayalam
asom trailler varalaam varalaam vaaa bairavvaaa,0,tamil
யாதவ குலத்தின் சார்பாக படம் வெள்ளி விழா கொண்டாட வாழ்த்துக்கள்,0,tamil
vikram vedha 2 rajini vs sethupathi,4,tamil
myskin sir nenga vera level super,0,tamil
trailar mas padam marana mas rajayum pillarum kali thudagi pakalam,0,malayalam
chaaaa gaye sir jai ho rajni sir,5,tamil
sk padama illa action king padama nu therila,3,tamil
camera man oru oru frame um sethikirukaru,0,tamil
ndh kadippada 13k dislike adichavark nallath kanda nallathenne parayanm atra chorinnindanki valla mullu murikinm ker myrole,1,malayalam
achaa lagta hum logu ko kisi na kisi bahne movie yaad tu karte ho i love pakistan,5,tamil
no caption required,5,malayalam
thala six pack kandipa iruku idhu podhum,0,tamil
eppadiyum pondadiya thaan neasikkanumnu climax irukkum illaadi director muvane nee seththa,3,tamil
surya acting oru pakkam verithanam na yuvan music athuku mela verithanama iruku aaga motham padathuku verithanam overloaded end dailogue varum paar,0,tamil
வாவ் ட்ரெலர் செம சூர்யான்னா ரசிகர்கள் சார்பாக வாழ்த்துக்கள் நண்பா,0,tamil
thandhayilaathavarum palathandhaku piranavanmaarum aayaa lalettan fanss fislike adikaann kore preyaasapedunundd abarariyunilaa malayala cinemayude shaapam aann lalettan fans en,3,malayalam
otha va okiravan suriya singam otha punda mavane,2,tamil
ಎರಡು ಒಳ್ಳೆಯ ವಿಷಯಗಳು ಆಗಬೇಕು ಇವಾಗn1 ದಿಯಾ ಮತ್ತೆ ರಿಲೀಸ್ ಆಗಬೇಕುn2 ಕೊರೋನಾ ನಿಯಂತ್ರಣ ಆಗಬೇಕು,0,kannada
திரௌபதி பற ரஞ்சித் ku செருப்படி,2,tamil
ѕєммα тнαℓα υ αяє му ωσя,0,tamil
now ajith pans buy rava mokka trolling katharal dukka deepavali pans,3,tamil
നടക്കാത്ത കാര്യമാ എന്നാലും ചോദിക്കുവാ ഒരു 2255 like തരുവോ,0,malayalam
lalettan ishtam ഇത് 6 million cross cheyyum ennu urappullavarkk like adikkam,0,malayalam
padam confirm blockbuster nu soldravanga like podungo,0,tamil
prithviraj,0,malayalam
804k likes sikram 1million like kondu vanga thala fans,0,tamil
hands up nahi hands down,5,kannada
best kannada quality bomb padam loading,0,malayalam
marana mass m2 problem story,0,tamil
oru doubt da suriya and ajith fans la friend nu sollitu theriuringa aana yenda suriya trailer 700k likes kooda thoda maatendhu purinjikonga suriya fans,0,tamil
new 100cr malayalam move ikka massss,0,malayalam
poda t v pasangla ena da thalapathy ya paathu andha scene la sirikra maari pani irukinga otha ajith movie la light ah sirikra,1,tamil
ithuthan ya naanga kekra rajini get rajinified,0,tamil
enna da ithu bgm ivalo kevalama iruku,3,tamil
super ra iruku by tamil nadu str fans,5,malayalam
final touch rajini vera level,0,tamil
hmm aparam bairava tambi konja othingi neelu hahahaha s3_சி3_varum_podhu_valila_neekalama,1,tamil
400k left for 13m views,0,tamil
earangunnathinu munb dislike adich moonjikkaan koreu ennam earangiyittund,1,malayalam
good morning everyone adichi parakkavidungga likes ah friends,0,tamil
பறையனும் வந்த ரத்தம் நமக்கு வந்த தக்காளி சட்னி,3,tamil
എന്റെ പൊന്നു പാപ്പാൻ ചേട്ടാ ഒന്നു സ്പീഡിൽ വിടുവോ ഈ ഓണത്തിന് ഇറക്കാനുള്ളതാണ്,0,malayalam
nive kutty aa enga da,4,tamil
lalettan fan anu ennalum ikka ningal vere level,0,malayalam
kantirava nsame ninnu eno bekunnkgf song listen nesto powerfull idennella languagenna nattract maadidenbut idu,0,kannada
very nice super star style petta vetripura valluthukkal,0,tamil
இங்க சாதி பத்தி பெருமையா பேசும் அனைவரும் ஒரு நிமிடம் சிந்தித்து பார்க்க வேண்டும் என்னதான் ஒரே சாதியா இருந்தாலும் காசு இல்லைன்னா சொந்த சாதிக்காரன் கூட பெண் கொடுக்க பெண் எடுக்க மாட்டார்கள் எந்த சாதியினர் ஆக இருந்தாலும் இங்கு பணம் தான் இறுதியில் யார் உயர்ந்தவர் மற்றும் தாழ்ந்தவர் என்று முடிவு செய்திருக்கிறது r காசு இல்லைன்னா மதிக்கவும் மாட்டார்கள் இதுதான் நிதர்சனமான உண்மை இப்படிக்கு சொத்துக்களால் ஒடுக்கப்பட்ட ஒரு குடும்பத்தில் பிறந்த ஒருவன் உங்களில் எத்தனை பேர் என்னைப் போல் அவமானத்தை சந்தித்திருக்கிரிற்கள் r,0,tamil
i think same look banane ki jaroorat nai hai dangal me aamir or fatima kaha phohat lag rahe the o hope ki film a6i ho,5,tamil
semme gethu thalaiva nan vantudenu sollu tirumbe vantudenu sollu,0,tamil
രണ്ട് ദിവസം വൈൽ കൊണ്ടത് വെറുതെ ആയിഅഭിനയ മോഹം മൂത്ത് മലപ്പുറത്തു നിന്ന് രാത്രി 12 മണിക് ബൈക്ക് ഓടിച്ചു വന്നിട്ട് എന്റെ മുഖം ഈ തിരക്കിൽ കാണുന്നില്ല എന്നൊരു സങ്കടം,0,malayalam
ondu likes ella,1,kannada
sk fans like here to block buster hit,0,tamil
ye movie kon kon dekhne wala hai hand s on,5,tamil
2 9 yogi babu anna hair style engada,2,tamil
ആരോ ഒരാളല്ല,0,malayalam
ഒരിക്കലും ഈ സിനിമക്ക് ചേർന്നതല്ല ഈ ഭാഷ ഇതിന് വേണ്ടത് നരസിംഹം ഭാഷയാണ് ഇത് സഹിക്കുന്നില്ല ഇത് മാത്രം മതി പടം പൊട്ടാൻ പ്ലീസ് ഇത് മാറ്റൂ,0,malayalam
மயிருக்கு கருமை தரும் கறிவேப்பிலையின் கருமை தமிழ் மூக்கனாங் கயிருக்கு அஞ்சா ௭ருமையின் திமிா் தமிழ் அறிய மக்கள் தொலைக்காட்சி செய்திகளை யூ டியூப் ல் காணுங்கள் நன்றி,0,tamil
yella ok iee aroygyake hankaraka bidi yake,1,kannada
yaarla 1 22 scene um aprum 2 24scene varumudha velindha velindha sirichinga,0,tamil
plz upload full movie in hindi dubbed plz admin,0,tamil
കാവ്യ ജീവിതത്തിൽ ചെയ്ത ഒരു നല്ല കാര്യം മഞ്ജു ചേച്ചി യെ ഞങ്ങൾക്ക് തന്നു,0,malayalam
hero already looks like a zero,2,tamil
nala maathi maathi adichikinu saavunga da elarum sethuta nalarkum jaathi pakama irukravan jollya irupan ninmathiya,4,tamil
anna ne epomay varaa level naaa,0,tamil
allu irukum mayiru matta irukum mooditu ozhunga pesi nalla padama eduda naaya,2,tamil
enna da fight scene la vachurukkenga,1,tamil
தமிழ் சினிமா இயக்குனர்கள் மற்றும் தயாரிப்பாளர்கள் சாதி மதம் சார்ந்த படம் எடுத்து தமிழர்களை தமிழ்நாட்டில் பிரிவினை ஏற்படுத்தாதிர்கள் please இப்படிக்கு தமிழன்,0,tamil
മലയാളത്തിലെ രാക്ഷസൻ ആവാനുള്ള എല്ലാ ലക്ഷണവുമുണ്ട്,0,malayalam
ayyyoooo naneeyy 24 hrs la 10 times mela pathutten str,0,tamil
marana mass intha diwali entha padam vanthalum naan kaithi ku than poven,4,tamil
vayasu pasanga villanunga kilavaaaa hero kodumaiiiii,4,tamil
ini njan thaaravine vaangan varulla padam polichutta,0,malayalam
ohh 200 jimittolikal dislike adichitund maire ole ninde okke poojappura kinathil teaser release aayo,3,malayalam
இந்த படம் மிகப்பெரிய வெற்றியாகும் இதை பேசுறதுக்கே தனி தைரியம் வேணும்யா hatsoff to the whole team,0,tamil
தளபதி மாறி அரசியல் படம் எடுத்தாவது நல்ல படமா கொடுங்க surya sir trailer super,0,tamil
onnum parayanilla onnu matram mammookkayaan ente lahari,0,malayalam
