text,true_label,true_label_name,pred_muril,pred_muril_name,pred_xlm-roberta,pred_xlm-roberta_name,pred_mbert,pred_mbert_name,correct
rajini ah mokka panninathu than vera level,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,False
para_pasanga ellam dislike potu irukaga kumurals starts elarume theatre la poi paaru movie industry ku tough kudunga bro,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,1,Offensive_Untargeted,False
hey idhu 96 su yaara yeamadhuringa veera level hahaha,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
yenda thirunthave mattengringala werum aracha maawe pottu araikkiringa,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,3,Offensive_Targeted_Group,False
avanugala nalavangala kamichiye padam varuthe avanuga panra thapu velila theriyale pathen entha trailer patha apuram en manasula eruka barame erangichii director sir and team unga kudubam nala erukanum mass kamichi erukenga,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
போலி நாடக கும்பலின் முகத்திரையை கிழித்த நண்பன் மோகன் அவர்களுக்கு ஒரு சல்யூட் மென்மேலும் பல வெற்றிக்களை பெற்று வளர வாழ்த்துக்கள் படம் வெற்றி பெற வாழ்த்துக்கள்,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
idhu 2016 illa 1996 uh,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,1,Offensive_Untargeted,False
எல்லாரும் மனுசங்க தான அப்புறம் எப்படி ஜாதி ய சொல்லி மக்கள பிறிக்கிரிங்க ஒரே ஊர் ல தான் இருக்கோம் ஒரே மொழி தான் பேசுறோம் அப்புறம் ஏன் அடிச்சிக்கிறிங்க,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
yow teejay ne inga ennaya pannura idhu rattha boomi aachea,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
vj fans vj64 katta waiting daa,1,Offensive_Untargeted,5,not-Tamil,5,not-Tamil,5,not-Tamil,False
dai entha trailer ku dislike poodavan mental nu ninaikiren,5,not-Tamil,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
6 2k dislike நாடக காதல் கும்பல் கதறல் திமிராய வருகிறாள் திரளபதி,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
enna eedhu bollywood pink movie marri aah eeruku,0,Not_offensive,1,Offensive_Untargeted,0,Not_offensive,5,not-Tamil,False
720 la vachu pathe 360 la pakura maari iruku,0,Not_offensive,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,3,Offensive_Targeted_Group,False
teaser aa vida trailer konjam mokka dha,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,3,Offensive_Targeted_Group,False
raja to 96 music composer unakku vandha ratham enakku vandha thakaali chutney,1,Offensive_Untargeted,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
உன்ன நெனச்சு நெனச்சு உருகி போனேன் மெழுகா 3,0,Not_offensive,0,Not_offensive,0,Not_offensive,2,Offensive_Targeted_Individual,False
sema sema maasss dislikes podrathukunae oru sila vetti group suthitu iruku avanungalukulam velaiyae ila pola dai neenga evalo oruthara pathi pesaringalo avalavum avanga valarathuku da atha purinjikonga intha ulagathula yarum periyavanga ila cenima na athu msg sivaji than matha elarum onu than atha vitutu avanga periyavangala ivaga periyavangalanu pesaringa poi neenga periya ala aga vendiya velaiya parunga da vetti kadha pesaratha vitutu,1,Offensive_Untargeted,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
அடேய் சிறுத்தை குஞ்சுகளா இதுநாள் வரை எங்க மேலயே பழிய போட்டுகிட்டு இருந்தீங்க விட்டோம் இனிமேல் நாங்களே வெட்டுவோம்அதுவும் சாதாரணமா இல்ல கண்டந்துண்டமா,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,4,Offensive_Targeted_Other,False
ottha fur elise pottu joliya mudichita,1,Offensive_Untargeted,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
வெறித்தனம் மண்ண தொட்டவனை கூட விட்ருவோம் ஆனா பொண்ண தொட்டவனை கண்டம் துண்டமா வெட்டுவோம்,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
love you akshay kumar and rajnikant sir,1,Offensive_Untargeted,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
paathuda aamaigala dislike panrathuku bathila like pannida poringa,3,Offensive_Targeted_Group,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
trenda maathungadabigil like kaithi comment,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
saale 43 views aur 157 likes,5,not-Tamil,5,not-Tamil,0,Not_offensive,0,Not_offensive,False
andha car parakura scene a cut pannirunga sir pls wtf nu irukku,0,Not_offensive,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,1,Offensive_Untargeted,False
பேர்தான் காப்பான் ஆனா படம் புல்லா பாம் வச்சு அழிப்பான் அங்கிட்டு போய் தண்ணிதுப்பாக்கி சுட்டு விளாடுங்கடா,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,4,Offensive_Targeted_Other,4,Offensive_Targeted_Other,False
oorukula yaaru varanu antha aalunga makkala yenga pathalu vettu ithella iruka intha padatha ban pannanum nadaga kathal ah pathi maatum pesirkanum naadaka kaathal yaaru pananlum thappu thaan and i never support naadaka kathaal oruthan vazhkaila olachitha munneranu ipdi adutha panakaara veetu ponna kalyaanam panni ilaa apdi yaaru pannanlu athu thappu thaan,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
vaiyiru yerinjavangalam dislikes poda aarambichutaanga seekram sethrunga da deii,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
ivanuku nadikave varathu intha padam oduna mathiri than en da comedy pandringa build up kuduthu kuduthe onnum illama aakidunga,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
rajni sir sonnathu oru nabara pathi ierukkalam ana avanla oru ala thalaiver enka intha naiii eanka,1,Offensive_Untargeted,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
opening nalla than iruku finishing nenachathan bayama iruku,3,Offensive_Targeted_Group,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
dai pandey thala ya vey yethirthu pesuriya goyala theater pakkam varuvala va,1,Offensive_Untargeted,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
thayavu senji antha shratha srinath voice ah mathunga da antha dialogue ku intha voice set eh agala mathapadi ellam super,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,False
dhanush oda character puthu sa erukay mass ta,0,Not_offensive,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,False
yetho miss aguthu thala teaser patha feel illa but puthusaa irukku,0,Not_offensive,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,1,Offensive_Untargeted,False
haha thalaivar 96 la irunthu solraru ana varallenu solringala seri,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,3,Offensive_Targeted_Group,1,Offensive_Untargeted,False
yella nigazhvukkumm katahaikkum innoru pakkam irukkirathu innoru pakkam irukkirathu nichayamaaga irukiradhu naandru peru kathi kathari sondraaal ore pakkam matrume unmayaaagaadhu appadi anda marupakuthukaaga kaathukondirinden inda thiraipadam appadi patra oru padam daaan unmaya pesuna indha padathay varaverkanum appadi varaverkillayendraal these guys r just annoying they want to portray only one side and absolutely it wont be tolerated,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
anil kunjunga neruku ner modha mudiyama fake id la varanga paaaaaaaaaaaavam sottapathi yoda anil kunjunga,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,3,Offensive_Targeted_Group,False
indha gangster movies konjam niruthana nalla irukum marana mokka orey template,0,Not_offensive,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,False
will gonna blockbuster for surya bhai,0,Not_offensive,0,Not_offensive,0,Not_offensive,5,not-Tamil,False
avengers end game a keduthan ippa director pariu kuduka pooran,0,Not_offensive,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
pon manikavel name ithuku yenda vachinga vera name ey kidaklaya ungaluku,3,Offensive_Targeted_Group,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
pakka mokka movie 2019 surya unga 2d after 0d than,3,Offensive_Targeted_Group,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
pa ranjith edukkum padangal anaithum sadhi veriyinai thoondukoodaiya vagaiyil irukkindradhu anal oodagangal pichai eduthukondu avargal pinnae selkindradhu,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
intha kali aatm kali viswasam trailer 7 ours 1m like,2,Offensive_Targeted_Individual,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
original pink copy nerkonda paarvai,0,Not_offensive,0,Not_offensive,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
idhu keka beka keka beka short film oda copy,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,1,Offensive_Untargeted,False
என் தலைவன பாக்க 100 வினாடிகள் wait பண்ண வச்சுடீங்களேப்பா rasool,0,Not_offensive,0,Not_offensive,0,Not_offensive,1,Offensive_Untargeted,False
petta or viswasam me perso petta,0,Not_offensive,0,Not_offensive,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
அங்க இருந்து ஆதரவு இங்க இருந்து ஆதரவு இப்படி மொத்த பயலும் சேர்ந்து ஒருத்தன எதிர்த்தா அவன் எவ்ளோ கெத்து,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
உண்மை சம்பவம் ஊர் பெயர் சொல்ல நான் விரும்பவில்லை கஜா புயல் போது நாடக காதல் பிரதிநிதியோடு பக்கத்து மாவட்ட பெண் சென்று விட்டது இதனை அறிந்த பெண்ணின் அம்மா அப்பா இருவரும் விழம் குடித்து தற்கொலை செய்து கொண்டனர் ஆனால் இதனை வெளியே சொல்லாமல் கஜா புயலில் தென்னை தோப்பு அழிந்ததால் தற்கொலை என பேப்பரில் போட்டாச்சி இப்படி அழிந்த சமுதாயத்தை மீட்க வருகிறாள் அக்னி குல தாய் திரௌபதி,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
kaithi like bigil comment,1,Offensive_Untargeted,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
ranjith and co padichu munneru thiruppi avangalukku seiyyadha saadhi veri bundais avana vettu ivana kollu,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
bro negala 2013 regulation aa sema intha jenmathuku all clear pna mudiythu,1,Offensive_Untargeted,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
இப்படி ஒரு படம் தான் அவங்களுக்கு ஒரு பாடம் இருக்க முடியும் ரஞ்சித் எடுக்கும் போது யாரும் வேண்டும் நாளும் எடுக்கலாம்,0,Not_offensive,0,Not_offensive,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,False
thathaavin nadippu nalla irukku 70 vayasila hero vaa kadavulee makeup man a thukadaa,0,Not_offensive,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
saathi veriyanunga inthinaperu irukeengala da ulagam enga poikittu irukuthu innum saakadailaye poralunga,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,4,Offensive_Targeted_Other,False
முற்போக்குச் சிந்தனைகளை படம் எடுங்க டான்ன ஏன்டா இப்படி பிற்போக்குத்தனமா பின்னோக்கிப் போயிட்டு இருக்கீங்க,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
broo teaser views hang aah irukaa,3,Offensive_Targeted_Group,0,Not_offensive,3,Offensive_Targeted_Group,0,Not_offensive,False
makka ithu kanyakumari peachu maathiri thoonuvu,0,Not_offensive,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
pollachula ponungala panna asinga pudecha jadhiikarana ennga pa kanom,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
அடங்க மறு nu எங்க அண்ணன் அப்பவே சொல்லுகிறார் போல ம்மாள டேய்,3,Offensive_Targeted_Group,0,Not_offensive,3,Offensive_Targeted_Group,4,Offensive_Targeted_Other,False
pengal meedhu kai vaithal thalaiyai vettuvadhil thavaru illai,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,1,Offensive_Untargeted,False
epo pa indha padam release aagum,0,Not_offensive,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,False
indha teaser ku dislike pana avaga amma silku da,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
back suriya ayan face bt indha harish jayaraj dhan ellathukum ore madhiri bgm podra madhiriye iruku enna sir aachi ungalukuelwv nalla music panna neenga why now ipidi ellam,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,0,Not_offensive,False
idhu 96 yara emathringa ultimate,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
தல பேன்ஸ்க்கு நல்ல ஆக்ஷன் பேக் buyrava troll meme கிடைச்சிருக்கு hmmm தெறிக்க விடுங்கள்,0,Not_offensive,0,Not_offensive,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,False
உங்கள நம்பாம தாண்ட உங்க பொண்ணுக எங்களை தேடி வராங்க அப்டி வந்தா நாங்க ஏமாத்த மாட்டோம்,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
oruthana vachi padam yedutha oda matengidhu nu 4 hero va as usual trailer super padam yeppudi irukkumo,0,Not_offensive,1,Offensive_Untargeted,3,Offensive_Targeted_Group,1,Offensive_Untargeted,False
tsk teaser ha vechu buy rava teaser ha adikanum,1,Offensive_Untargeted,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
bgm mind le odite irukku குருமா பாவம் இவ்வளவு கம்மியான பட்ஜெட்டில் தரமான சம்பவம்,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,False
வசதியான வீட்டு பொண்ணுங்களை நாடக காதல் பண்ணி கூட்டிட்டு போயிடுறானுங்க தம்பி அப்படிங்களா உங்க சொத்து எவ்ளோ தேறும் இருங்க தம்பி ரேசன்ல அரிசி போடுறாங்களாம் வாங்கி வெச்சிட்டு வர்றேன்,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
இயற்கையா இருக்க நிலத்தை நீங்கள் எல்லாம் உங்க சொத்துன்னு சொல்லி உரிமை கொண்டாடும் போது தப்பில்லை நதிய உரிமை கொண்டாடுனா தப்பா,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
tapsee pannu yave vechu eduthu irundha nalla irundukko pink movie in hindi,0,Not_offensive,3,Offensive_Targeted_Group,1,Offensive_Untargeted,1,Offensive_Untargeted,False
ithe mari short film onnu knjm varsham munnadi vanthuche gunda oru aal nadichirpapula yarachum pathurkingala,0,Not_offensive,1,Offensive_Untargeted,5,not-Tamil,1,Offensive_Untargeted,False
செல்வராகவனுக்கு வயசும் இல்ல அறிவும் இல்ல because இந்த படத்த நாம இப்ப பார்த்தால் புரியுரது கஷ்டம் 10 வருஷம் கழித்து பார்த்தால் புரியும் எ கா ஆயிரத்தில் ஒருவன் வேறலெவல் இயக்குநர்,2,Offensive_Targeted_Individual,0,Not_offensive,2,Offensive_Targeted_Individual,0,Not_offensive,False
hama athe nallu fight nallu song social actor apdi solikitu oru dialogue illa oru scene ithathan oru 20 varusama pakren konjama character a mathi nadika matraru 60 padam vanthachu innum antha thirumalai padam mathiri than irruku ineme periya hero padamla waste ine talented directors ku chance kudukanum d16 managaram,4,Offensive_Targeted_Other,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
trailer last varaikkum nalla paathutay irunden last la oru twist vacheenga paaru director rathina siva nu ayooo aala vidunga da saaamy rekka ila vaangunadu innum valikkudu rekka rathinasiva seeru jeeva vel sinternational,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
last dialouge la thala ya adikuringala da kaithi team atha yenda neyaba paduthuringa,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
முடிந்தால் படம் பார் முடியலன மூடிட்டு போல சின்ன புண்டைகளா,1,Offensive_Untargeted,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
surya super mohanlal dubbing very bad,0,Not_offensive,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
entha pada tha yenga yoo patha mathiri eruku,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,3,Offensive_Targeted_Group,False
எப்போது ஒருவர் தனக்கும் கீழ் ஜாதி இவர் என்பதை நினைக்காமல் சக மனிதர்கள் என்று பார்கின்றாரோ அப்போது தான் ஒருவர் முழு மனிதர் ஆகின்றார் enoda comment padichitu na intha jaathikarana irupanu nenaikravnga iruka varaikum ethuvum maraporathu ila,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
இந்த நாடாக காதலை உணர்த்தும் படத்தோடு அதை நேரடியாக ஆதரித்து அதற்கு ஊக்கம் தரும் விசிக திருமா கட்சி திமுக போன்ற கட்சிகளின் உண்மை முகத்தையும் புரிந்து கொள்ள வேண்டும் இது போன்ற கட்சிகளை தமிழ் நாட்டில் சுவடே இல்லாமல் அழிக்க வேண்டும்,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
nadakarathu yethum unmaila vanthathuku apramthan therium athu paruntha illa kakkavanu kanavo kanbathu yen urimai all the best thala,0,Not_offensive,0,Not_offensive,0,Not_offensive,1,Offensive_Untargeted,False
kabali kaalaa madhri parapaiyan padama irundha padam odadhu be careful,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,0,Not_offensive,0,Not_offensive,False
எந்த நிறம் இருந்தாலும் அவை யாவும் ஒரே தரம் அன்றோ இயக்குனர் g mohan அவர்களே நவீன நாடக காதலை சாதிய வெச்சு தான் சொல்லணும்னு இல்லையே நீ காதலையும் கொச்ச படுத்தர சாதியையும் கோச்ச படுத்துர நானும் பாண்டிய குழத்தவனே ஆனால் நீதியை சாதியனு பாத்தா நீதி தாண்டா உன் மொழியே உன் அடையாளம் உன் சாதியல்ல தமிழ் வாழ்க,2,Offensive_Targeted_Individual,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
ommala vera level thala marana mass,0,Not_offensive,0,Not_offensive,0,Not_offensive,1,Offensive_Untargeted,False
yov mapla ne ethukku ya bigil la nadiche unna dammi panni vachirukkanuga ne veramari aalu ya getha nillu ya un thiramai unakke theriyathu padam vetri pera vaalthukkal,0,Not_offensive,3,Offensive_Targeted_Group,0,Not_offensive,2,Offensive_Targeted_Individual,False
hyyy super pa waiting to watch last la rajini ya kalachadhu innu super,1,Offensive_Untargeted,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
thala innum ipdi full white evvalavu naal nadippenga kaduppa irukku thala,2,Offensive_Targeted_Individual,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
ethuku yethuku da naadodigal 2 nu vachinga,0,Not_offensive,3,Offensive_Targeted_Group,1,Offensive_Untargeted,1,Offensive_Untargeted,False
1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,0,Not_offensive,3,Offensive_Targeted_Group,False
mersal scene vare mothe adhi sir apidi siritharu anaa viswasam scene vare mothe adhi sir konjamma siritharu why,0,Not_offensive,1,Offensive_Untargeted,5,not-Tamil,3,Offensive_Targeted_Group,False
1 55 naanga unkitta vishvasam kaatuvom thala,0,Not_offensive,0,Not_offensive,0,Not_offensive,1,Offensive_Untargeted,False
mediava ipathan sariya use pana kathukitanga,0,Not_offensive,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,False
directer thadi veri pidicha nadhathari nadaka kathal kandu pudichathe droupathi thanda ellarukum therinje 5peru theriyama ethna peru,2,Offensive_Targeted_Individual,0,Not_offensive,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,False
