text,label
ಮುಚ್ಚಲೇ ಆ ತುಲುಗು ನವರಿಗೆ ಹುಟ್ಟಿರೋರ್ ಥರ ಯಾವಾಗಲೂ ಸೌಂದರ್ಯ ಸೊಬಗುಲಿ ಅವರದ್ದೆ ಹಾಕಿರುತ್ತಾರೆ ರಾಜ್ ಕಮಲ್ ಒಂದ್ರಲ್ಲೆ ಕನ್ನಡ ಹಾಕೋದು,3
instagram ali share madi avlna tag madi e math helu bro,0
super guru ugudre e thara ugibek moka oruskolaku gap kodbardu guru,1
karthiks reddy ನಿಮ್ಮ ಉತ್ತರ ಆಂಗ್ಲ ಭಾಷೆಯಲ್ಲಿ ಇಲ್ವಾ ಅದೇ ಥರಾ,0
idu remake alla kanappa,0
ಕೇಳಲು ಇಷ್ಟ ಆದರೆ ಇದು ನಿಜ ಅಲ್ಲ ಅನಿಸುತ್ತೆ ನನ್ನ ಪ್ರಕಾರ,1
hagadare kaleyugaku antya edhe antha aytu ero ast dina enjoy madkond erbekappa,1
sathya na guru,0
en edit madidya guru,0
lol darahan fans talking about quality,3
idu charitre srutsiro song,0
ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಜೂನಿಯರ್ ಶಂಕರ್ ನಾಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅವರ ಕನ್ನಡ ಚಿತ್ರರಂಗವನ್ನು ಉನ್ನತ ಮಟ್ಟಕ್ಕೆ ವಯುತಾರೇ,0
ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರಾ nlove you boss,0
hindi version elli ide guru,0
ఉత తర ప రద శ న చ అ,5
shivu m hikkangutti v,1
100 days pakka annoru like madi,0
രക്ഷിത് ഷെട്ടി കേരള ഫാൻസ്nrakshit shetty kerala fans,3
gowda ಧನ್ಯವಾದ,0
naanu ollevarige mathra olle comments madtini sir ninnanta olle vektige ollede agutte sir shankar sir nimmanta seniors namage inspiration sir haage kuda anchor kuda super neevu kuda naanu mecchida anchor neevu,0
ತೊಗರಿ ತಿಪ್ಪ ಸ್ಟೋರಿ ಹಿಂದೆ ಟೇಪ್ ರೆಕಾರ್ಡನಲ್ಲಿ ಕ್ಯಾಸೆಟ್ ಹಾಕಿ ಕೇಳಿದ ನೆನಪನ್ನು ಮರುಕಳಿಸಿದ ಅಶ್ವೀನಿ ಆಡಿಯೋದವರಿಗೆ ಧನ್ಯವಾದಗಳು,0
tik tok nan shaaataaaaa,4
intha olle video nu dislike madiroru yentha kachada nanmaklirbeku,3
tik tok nan shaaataaaaa,4
monster_kannada ಲೋ ಬೀದಿ ಸೂಳೆ ಮಗನೆ ನಿಂಗೆ ಅಷ್ಟು ತಾಕತ್ ಇದ್ರೆ ನೀನು ಒಬ್ನೆ ಅಪ್ಪನಿಗೆ ಹುಟ್ಟಿದ್ರೆ ನೀನ್ ಹೇಳೋ ನಿನ್ ತುಣ್ಣೆ ನಿಂಗೆ ಗಟ್ಟಿಗೆ ನಿಂತಿದ್ರೆ ನನ್ ಅಡ್ರೆಸ್ ಕೊಡ್ತೀನಿ ಬಾರೋ ಪಾರ್ಥಸಾರಥಿ,2
first karnataka dalli tamil and telugu cinema galile bedike kadime agbeku avarinda ne nam kannadakke e paristithi,1
hai gaya husharaytha,0
excellent song,5
ಈ ಹಾಳಾದ ಕೋರೋನ ವೈರಸ್ ಬಂದು ದಿಯಾ ಲವ್ ಮಾಕಟೈಲ್ ಚಿತ್ರಗಳಿಗೆ ತುಂಬಾ ನಷ್ಟ ಉಂಟಾಗಿದೆ but don t worry u get best reviews all the best for ur nxt movies,4
hegde super joke,5
guru super,0
how u told nivu heg heltiya bro,0
next part madi,0
ಓಂಕಾರ ವಿಶ್ವ ರೂಪಯಾ ನಮಃ,0
dis like madirorige shradaanjali,3
hindi song release madilavaa,0
guru nin yelli adru tagondi roast madodu bidbeda ninge bekadre kaalige biltini,0
yes super bro,5
super sir ನಾವು ಚಿಕ್ಕವರಿದ್ದಾಗ ನಮ್ಮ ಕುಟುಂಬದವರು ಎಲ್ಲರೂ ಸೇರಿ ಕೇಳುತ್ತಿದ್ದೆವು ನಮ್ಮ ಅಪ್ಪನ ಅಚ್ಚುಮೆಚ್ಚಿನ ಹಾಸ್ಯ ಕಾರ್ಯಕ್ರಮ ಇದು,0
nice song i like,0
sak sak thika muchrole aathara career change yenagalla laude nan makla hog kelsa nodi,3
bladey piracy madidara yallaru alli node status hakidara movie yalli theatre alli yar nodatara first telegram ban madabaku,3
bro yaarnu bidbedi tiktok uninstall aagovargu rost maadi prathiyobrunnu,3
comedy aggie nodorige comedy nee,4
kannada and even tamil super,5
sir nam deshadalli political sari erbeku jati beda elde balbeku avaga devolop agbhdu,0
en guru song nhowdoo huliyaaaa,0
ಸೂಪರ್ ಸಾಂಗ್,0
super bro well video for tiktoker,5
ನೀನು ಗೆದ್ದೆ ಬಿಡು ಗುರು,0
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೂ ಕನ್ನಡದ ಸಿನಿಮಾ ಆಗುತ್ತೆ ಆಲ್ ದ ಬೆಸ್ಟ್ from d boss fans,0
ಇದು ಚರಿತ್ರೆ ಸ್ರೃಷ್ಟಿಸೋ ಹಾಡು super super super,0
d boss fans ಕಡೆಯಿಂದ ಆಲ್ di best,0
gowda lo tukali,2
kudla kannadadalli nodi kannada version views jaasti maadi,0
super assam video posted dud,5
1 4k dislikes from rashmika fans may be,3
ನನ್ನ ಬಂದುಗಳೆ ಒಂದನ್ನು ನಾವು ತಿಳಿಲೇಬೇಕಾದ ಅವಶ್ಯಕತೆ ಇದೆ ಅದು ಏನಂದ್ರೆ ಮೊದಲಿಗೆ ಮನುಷ್ಯನಲ್ಲಿ ಅಥವಾ ಸಮುದಾಯದಲ್ಲಿ ಅಥವಾ ಒಂದು ದೇಶಕ್ಕೆ ನಾನು ದೊಡ್ಡವನು ಎಂಬ ಭಾವನೆ ಬಂದುಬಿಟ್ಟರೆ ಅದು ಕೇವಲ 200 ಅಥವಾ 300 ವರ್ಷಗಳಲ್ಲಿ ತನ್ನ ಸರ್ವನಾಶ ಮಾಡಿಕೊಂಡು ಬಿಡುತ್ತೆ ಯಾಕೆ ಅಂದ್ರೆ ನೀವು ಇತಿಹಾಸ ನೋಡಿದಾಗ ಮನುಷ್ಯನಲ್ಲಿ ಒಂದು ಆಸೆ ಬರೋದು ಸಹಜ ನಾನು ಎಲ್ಲರಿಗಿಂತ ದೊಡ್ಡವನಾಗಿ ಇರಬೇಕು ಬೇರೆಯವರಿಗಿಂತ ಎತ್ತರಕ್ಕೆ ಬೇಳಿಬೇಕು ಎಂದು ಇದೆ ಭಾವನೆ 1200 ವರ್ಷಗಳ ಹಿಂದೆ ಅರಬ್ ದೇಶದ ಮುಸ್ಲೀಂ ಧರ್ಮದ ಜನರಲ್ಲಿ ಬಂದು ಅಂದಿನ ಹಿಂದೂಗಳ ದೇಶವಾದಂತ ಭಾರತ,0
hands up,5
suspense movie good kannada,0
yaar guru idnu kooda dislike maadidare,1
ha nam manegu bandiida,1
heart touching comment nne kelsa aagbeku,0
amazon prime li sigtide,0
rumble story ge ee song relevantag idya nee song bekagitta anta,1
wonderful movie,5
kulkarni ನೀವು ಹೇಳೋದಕ್ಕೂ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸ್ವಲ್ಪನೂ ಸಂಬಂಧವಿಲ್ಲ ನನ್ನ ಪ್ರಕಾರ ಭ್ರಷ್ಟಾಚಾರ ನಿರ್ಮೂಲನೆ ಆಗಬೇಕು,0
kelly kannada da bagge sumne matadidre includes people too adu namgu naatutte,1
naik ninigeno tika uri kothi tunnege huttidone tika muchkond irbeku ashte,0
ಕಥೆ ಸರಿಯಾಗಿ ತಿಳಿದುಕೊಳ್ಳಿ please don t worng guide ಅಶ್ವತ್ತಾಮ ಶಿವನ ಅವತಾರ ಇಂದ್ರನಲ್ಲಿ ಸುಳ್ಳು ಹೇಳಿದಕ್ಕಾಗಿ ಭೂಮಿಯಲ್ಲಿ ದೀರ್ಘ ಕಾಲಿ ಯಾಗಿ ಅವತಾರಿಡಿದರು ಅಷ್ಟೇ ಕೃಷ್ಣ ಅವರಿಗೆ ಶಪಿಸಲಿಲ್ಲ,3
ನನಗೆ ನಿನ್ನೆ ಕಥೆ ಹೇಳಿದರು ಒಬ್ಬರು ಅದಕ್ಕೆ ವಿಡಿಯೋ ನೆನಪು ಆಯಿತು ಸುಪರ್ ಇವನ ಊರು ಶಿಗ್ಗ್ಲಿ,0
c lol antarjati vivaha adre caste fear iralla nanu a caste e caste anta vote hakkala yalla mixed hagirtare sariyadavrge vote haktare jailge hogibandavrge hakkala,0
superb song,0
ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ,0
hauda angadre hogi avn tunne unnu,1
le ganduntikamucchunnee tara worst song nin kayalli madakke agutta,4
sar bedi duty madali taraget miss agote,0
super anna super creative kannadiga,0
ಏನ್ ಹೇಳಿದಿ ಗುರೂ ಸೂಪರ್ ಬಾಸ್n,0
ಅಪ್ಪು ಫ್ಯಾನ್ಸ್ ಲೈಕ್ ಹಿಮ್,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
ishta aytu shetre,0
ha sir kanada movie nam janane nodthaila,4
babu sule magne,2
r r madar,5
bro valledu yarigu bega kaansodilla,0
2k dislikes rashmika maandanna fanss,2
hands up english alva,0
first karnataka dalli tamil and telugu cinema galile bedike kadime agbeku avarinda ne nam kannadakke e paristithi,1
akki studio please all over karnatakadalli 150 theater alli re release maadodakke heli diya movie annu,0
sari guru nan rc nodod irli ninu illi bandiro cmnts nodu ninge gotthagutthe,2
ನಿಜಕೂ ಈದು ಆಚರಿನೇ,1
shetty bhatkal bro nanna friend manju film industrynalli iddane namma urinavre nanna friend nanna contactnalli iddne script matadiddeve ottige seri discuss madona,0
i am kiccha fans super song,0
ಕನ್ನಡದಲ್ಲಿ ಹೊಸ ಪ್ರಯತ್ನಕ್ಕೆ ಒಳ್ಳೆದಾಗಲಿ,0
i m uttar karnataka love janapda,0
pakka charitre srustisooo avataara,0
ಕಲರ್ ಫುಲ್ ಆಗಿದೆ,0
osm,5
en heldhe guru,0
ಸಾಮಾನ್ಯ ಮನುಷ್ಯ ಶಂಕರ್ ಸರ್ ನಮಗೆ ನೀವು ಮಾದರಿ,0
super d boss fans like,0
t b irli bido ningen helilvalla,0
jai d boss,5
bgm super ide ಶೆಟ್ರೇ,0
love u rakshita shetty,5
osm voice sir,0
o my god supero super,5
medegar ಅಲ್ಲಿ ಕೂಡ ಕೆಲಸ ನಡೆಯುತ್ತಿದೆ,0
super i m so happy,5
nam karnatakdallu bandidru yavno huchha andkond nodoke hogilla,2
very amazing song,0
ಅವನಿಗೆ ಕನ್ನಡ ಭಾಷೆ ಬರುತಿತ್ತ,0
ಸಾರ್nಸಾವಿರ ರಾಜಕೀಯ ಪಕ್ಷ ಕಾಂಗ್ರೆಸ್ ಬಿಟ್ರೆ ಬೇರೆ ರಾಜಕೀಯ ಪಕ್ಷದ ಅಜೆಂಡಾ ಏನು nಅಧಿಕಾರಕ್ಕೆ ಬಂದ ಮೇಲೆ ಸಾಧನೆ ಏನು nಆದ್ರೂ ಅಜೆಂಡ್ ಇಲ್ಲದ ಪಕ್ಷ ಗಳ ನ್ನೂn1947 ರಿಂದ ಬೆಂಬಲಿಸಿ ದ್ದಿವಿ nಕಳೇದ 4,0
super duper love you,5
super movie,0
jevanada sathya harithiruva jnani,0
miss u hindi song,5
good msg man,5
ಯುದ್ಧ ಮಾಡಬೇಕು ಓದಬಾರದು ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ ಎಂತಹ ಸಾಲುಗಳು,0
super movie sir,5
ಮೊದಲು ನೀನು ಧರ್ಮದ ಬಾಗೆ ನಿನಗೆಸತು ಗೊತ್ತು ಹೆಲ್ಲು,0
spr bro,5
namdu mind set hege andre,1
nija heludre heege,2
such a nice bro,5
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
ur right i felt same super meaningful song,5
ಬೇಡಾ ಈ ಕಚಡ ಶೋ ಗೇ ಬರೋದು ಬೇಡಾ ಸರ್,1
yen huru helidiri super,0
ayyo vishal movie remake guru idu,3
sir nimma ph no kodi sir trip eruvaga nimma cab joteyali hogtivi nimmaantvaru chanagierabeku n yela snhytru adstu evar cab book madi ethara madidre swalppa helf agbwdu friend s gn,0
nivu deshada ella moole moole bidade suttidira avaru hagella sikka sikka varigella kanisikolluvudilla,2
super togari tipa,5
supar love,0
ಹೋದರೆ ಹೋಗ್ಲಿ ಬಿಡಿ ರಶ್ಮಿಕ ಅವಳೇನು ತ್ರಿಪುರ ಸುಂದರಿನಾ ಬಿಟ್ಟಾಕಿ,2
ನಮ್ಮ ಉರೀನ ಟ್ಯಾಲಂಟ,0
idu beku guru china soole maklige innu kodu guru superrrr guru,4
asn release in nkannada dec 27ntelugu jan 1stntamil malayalam jan 3rdnhindi jan16thnnastaralli ella mobile nalli nodi mugsirtaare aaga release maadi aden record create maadtaro n300 koti beku anta tweet maadidre saaladu ondu cinemana janagalige yav reethi talupisodu anta gottirbeku kurukshetra ide reethi promotion ilde haalagi hoytu innoo idunnoo hange maadtidaare,1
ivaribbarde daralli ellrigu ista agodu,0
rakshith shettynrishab shetty nfans hit like here,5
ಿಚ್ಚನ ಹಾವಳಿ o reviews chennagiddru movie odlilla yakkapa other lamguagalli,0
yavdu nodtidira adar bagge aste madi adu bittu avara fan ivara fan ninda all the best anta bogalbedi,3
ivrantu un install madalla sulemaklu avrna following madtiro nayigalige buddi barbeku modlu nam india dalliro inta nayigala kathe ne istu deshad bagge yenadru gottidre tane tiktok nalli bandu motivation helo ivlige deshad bagge keladre yenu gottiralla guru ivakke avar maneli bodig bittidare avalna navadru enmadokagatte,1
ತುಂಬಾನೇ feel ಅಗ್ತಿದೆ,0
super move,0
lockdown mugili relise madi bartivi sir,0
super super song you happy,0
mathondu video edre haki,0
hen music guru,5
bai rakshith avri nan msg nodudri yargu agllilla aa thukali dagarna madvi madkolak hogbedi,2
ಅದ್ಬುತ ಕಲೆ ಸಾಹಿತ್ಯ ಸಂಗೀತ ಗಾಯನ,0
hidden details in trailer of asnn,5
nija helbekandre ee song yako sync aagtilla movie trailer type ge,4
sudeep du olle movies innu idave nnphantom,0
love you anna,5
frickin ear worm of a song ppa pa ba ppa pa pa pa pa pa,5
vinu ಇವ್ನು ಯಾರ್ ಗುರು ನಂದೆಲ್ಲಿ ಇಡ್ಲಿ ಅಂತವ್ನೆ,1
all d best frm appu boys,5
en super helidya bro innu eno beku,0
kelly kannada da bagge sumne matadidre includes people too adu namgu naatutte,1
dabba movie annoru like maadi,4
hindi me kab aayga,5
woooooooowwwwwwoooooooowwwwooo rakshith shetty bro,5
tiktok ban agirodrida tiktok madtidrala avr family avrig kushi agirute tumba deena ivr mada nodi sakagitu,0
ulti music suuuper,0
song is amazing,5
thanks ellakade link sher madi ntukali kushmikage hattiro kobbanna elisi,4
kichcha boss fans,5
ಇವರ ಸಿನಿಮಾದಲ್ಲಿ ಸಂಸ್ಕೃತಿ ಎದ್ದು ಕಾಣುತ್ತೆ,0
ade allu arjun songs 180 veiws ide adare nam songs 20 million saku bereyavarana belesidhu nav beleyona common kannadigas,0
yella ok iee aroygyake hankaraka bidi yake,1
god bless you sir,5
super toogari tipppa,0
niv supper boss,0
yan helidiya guru,0
34 m v,5
boss mania nanag gottu bido childnnpailwaan flop,0
game name henu bro,0
ತೊಗರಿ ಅಭಿವೃದ್ಧಿ ನಿಗಮದ ವ್ಯವಸ್ಥಾಪಕ ನಿರ್ದೇಶಕರಿಗೆ,0
hlo bro even i uninstalled at stupid app,4
edu muda nabike nama jana enu betela,4
nayak nayakru suel maklu,2
le bindu naayi phone all radi togonda aaytha avarge adara laba sikatu aadare tik tok end dinaa avarage laba baratte enna mele yaava vastu togo beda china vastu ninu togo beda naana antu tiragi nodalla ni ale tuu,2
super ತೊಗರಿ ತಿಪ್ಪ,0
nrj l,5
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
last dialog,5
all the best from ಸ್ವಾಭಿಮಾನಿ ಕನ್ನಡಿಗರ ವೇದಿಕೆ,0
video nodidare bhaya agutthe,3
mutturaj melageri ಸೂಪರ್,0
who hate rashmika mandana like heare,5
ಅದ್ಬುತವಾದ ಮಾತುಗಳು ಆಡಿದಿರಿ ನೀವು mast maga ni best maga,0
udv but story line seems different,0
dubb full movie in telugu,0
ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ,3
nam kannada industry yav industry gu kadime illa maaraya,0
ಬದುಕು ಒಂದೊಂದ್ ಸಾರಿ ಇಷ್ಟೊಂದು ಕ್ರೂರಿ ಆಗುತ್ತಾ ಅನ್ಸುತ್ತೆ,0
ಒಂದು ಶಿಕಾರಿಯ ಕಥೆ ಆಗದೆ ಇರಲಿ ಪ್ರೇಕ್ಷಕರಿಗೆ ವ್ಯಥೆ nಜೈ ಕನ್ನಡ,0
parthasarathi ನಂದಿನಿ ನಿಮ್ಮ ಅಪ್ಪ ನಾಮರ್ದ ಅಂತೇ ಹೌದೇನೇ,2
avra manelli yavagadru hoddu sayisudre gottagutte kittod nan maklige tik tok yak ban madbeku andorge saryagelidira bro,3
hands up super song,0
ದಿಯಾ ಅದ್ಭುತ ಚಿತ್ರ ನನ್ನ ಪ್ರಕಾರ ಯಾಕೆ ಈ ಚಿತ್ರ ಸಿನೆಮಾದಲ್ಲಿ ಓಡಿಲ್ಲಾ ಅಂತ ನನ್ನ ಅನಿಸಿಕೆ ಹೇಳುತ್ತೇನೆ,0
super vp sir,0
yen guru ulty 1 number,0
aadu nane broo soul naa replacement maddee bere body gee antha aansthidee,4
ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ,0
i love it,0
1 8k dis likesn ನಂಗೆ ಅನ್ಸುತ್ತೆ ಇವ್ರೆಲ್ಲಾ ರಶ್ಮಿಕ ಮಂದಣ್ಣನ ಫ್ಯಾನ್ಸ್ ಅಂತ,3
super bro,5
96 film tamil alli blockbuster gultoo,0
r all p,5
d boss fan kanda adhu bale alla kadga yeshte adru d boss obba g avne ge bari local gare kelsdavru,2
s a aw in km m km kmnnmn mn on,5
unique tune ade thamte,1
i big big fan of dia,5
325k likes,5
munira nice songs,0
ಸೋಮಣ್ಣ ಸರ್ ಮತ್ತೊಮ್ಮೆ ಅಭಿನಂದನೆಗಳು ಇವರು ಸಮಾಜಕ್ಕೆ ಒಂದು ಮಾದರಿ ತಾನು ಮಾಡುವ ಕಾರ್ಯದಲ್ಲಿ ಇರುವ ಹೆಮ್ಮೆ,0
akbar hello srk athava salman khan fan ninge race 3 ne sari nnnnsuper story alvaa race 3,0
anna super anna nivu nivu ondu samajakke seve hagu deshavannu ulisalu ondu sangavannu katti navu nimmannu bembalisuteve,0
super hands up,0
ನೀವ್ ಹೇಳೋದ್ರಲ್ಲಿ ಏನು ತಪ್ಪಿಲ್ಲ ಬ್ರದರ್,0
u r great sir ಶ್ರಮ ಜೀವಿ,0
kumar h teggin,5
ಸ್ವಾಭಿಮಾನ ಇಲ್ಲಾದವರು,1
namma deshanu china thara aitu andre badatanane erala sir,3
alagi hogali bidu,1
dia u ಖುಷಿ,0
hindi me kab release karo ge,5
ಪ್ರಪಂಚವನ್ನೇ ನಡುಗಿಸುತ್ತಿರುವ ಉಗ್ರವಾದ ಕರೋನಾಗೆ ಶಾಕ್ nರೂ 50,4
ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ,4
anjali devi hi,5
v ನಾನು ಅಷ್ಟೇ ಯಶ್ ಫ್ಯಾನ್,0
diya swarupavannu nodi gadgadithanadee,0
e video nodi namma desha e stiti nodi bejar aytu nbangarada akki agidda bharatakke e paristi barabaradittu,4
2019 ರಲ್ಲಿ ಈ ಕಥೆ ಯಾರ್ ಯಾರ್ ಕೇಳಿರೆಪಾ,0
idu charitre srushtiso avataara,0
ಮ್ಯೂಸಿಕ್ ತುಂಬಾ estaaythu bro,0
appu fans yellaru nimma movie nodthivi,0
so nice,5
ನೀವು ತುಂಬಾ ಸ್ವಾಭಿಮಾನದ ವ್ಯಕ್ತಿ ಶುಭಾಶಯಗಳು,0
super music,5
brother bindu gowda du tik tok ban hagirodhru bagge matadidhalala adur bagge video madi n love you u r channel,0
ee video dalli play agiro game yavdu,0
ಅದ್ಭುತ ಹಾಡು,0
ಮೊಬೈಲ್ ಅಲ್ಲಿ ಮೂವೀ ನ ಬಿಟ್ಟಿದ್ದಾರೆ ಥಿಯೇಟರ್ ಗೆ ಯಾರ್ ಬರ್ತಾರೆ ನಾನ್ ಮೊಬೈಲ್ ಅಲ್ಲೇ 2 ಟೈಮ್ ನೋಡ್ದೆ,1
anyone from kerala here,5
pu kannada bhashe sanskrit bhasheyinda sakastu padagalannu eravalu badige padedukondide aaddarinda anthaha padagalannu balasuvudaralli tappenilla,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
yallo heno aythu anthane alva guru avnu sule maga,2
ಮಹಾಭಾರತದ ಕಾಲದ ಭಾಷೆ ಯಾವುದಾಗಿತು,0
he he he,5
nan film or tv serial producer agidre nimge patra create madi olle sambhavne kottu act mado chance kodtidde,0
akbar nija,5
hands up eddu charitra srustiso avatar a,0
is it omg,5
like 1m,5
one of the unique person,5
100 true sir,5
ultimate hands up,5
ಯುದ್ದ ಮಾಡಬೇಕು ಓದಬಾರದು ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ,0
paaapa konegu tik tok hoythu nayigal boglod kadme aythu,4
allaru swabimana life evarannu nodi kaliyabeku,0
parthasarathi ನಂದಿನಿ ನಿನ್ ಮಲೆ ಹೀಚುಗ,2
ji d boss i love you d boss,0
diya thumba chennagide ondu olle prayathna movie kone vargu sinimada ondu bhagavagi ondu olle feeling nalli movie na nodthidde but kone seen nijakku ishata aglilla tragidi ishtondu bekitta ellara manisige ishta ada adi na sayisbekitta so last seen nodida thakshna alliyavaregu idda feel pat antha maya agi edenu heeg madudru ansuthe,3
love u vp sir super song super voice rs is a legend love u,5
yellaru nkgf nodeya nalli busy eddare nallobba trending 1 nalli busy edda nnnavane sriman narayana,0
jaa dhinchak pooja ki songs dekh bollywoodiya,4
super guru neenu tiktak sede galige yeneludru arthagalla,4
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಿದ ಸಾಂಗ,0
super sir,0
ಬಿಂದು ಗೆ ಹೂಡಿ ಮೇಟ್ನಗೆ ಟಿಕ್ಟಾಕ್ ಗೆ ಹುಟ್ಟಿದ್ದುಅನ್ನೂಗೆ ಹೇಳ್ತ್ತಳೆ ಸೂಪರ್ ಗೆ ವಿಡಿಯೋ ಮಾಡಿದ್ದಿಯಾ ಗುರು i love india,2
is it true,5
luv from karnataka,5
ಭಾರತದಲ್ಲಿ ಕಂಪನಿ ಸುರು ಮಾಡಲು ಬಂದ್ರೆ ಸಿಟಿ ಬಿಟ್ಟು ಹಳ್ಳಿಯ ಕಡೆಗೆ ಬರೊದೆ ಇಲ್ಲ nಉತ್ತಮ ಮತ್ತು ವಿಶಾಲ ಪ್ರದೇಶ ಇರೊದು ಹಳ್ಳಿಯಲ್ಲಿ ಮೊದಲು ಅದನ್ನ ಸರ್ಕಾರ ಮಾಡಬೇಕು,0
ನಮ್ಮ ದೇಶದಲ್ಲಿ ಇದ್ದು ನಮ್ಮ ದೇಶದ ಅನ್ನ ತಿಂದು ಬೇರೆ ದೇಶಕ್ಕೆ ಲಾಭ ಮಾಡ್ತಾ ಇದೀರಾ ನಾಚಿಕೆ ಆಗಬೇಕು ಹಿಂತವರಿಗೆ,0
signature steps thumba channagide sir,0
superb sandalwood gentle man,5
e film baari ede ante guru nodle beku,0
anjali devi z,5
plz make in hindi,5
ನಂಗೆ ತುಂಬಾ ಬೇಜರಾಯಿತು ಒಂದು ಒಳ್ಳೆ ಸಿನಿಮಾ ಮಿಸ್ ಮಾಡ್ಕೊಂಡೆ ಅಂತ theater li ನೋಡಬೇಕಿತ್ತು ni feel guilty,0
ಅಲ್ಲಾಉದ್ದೀನ್ ಯಾರು ಸರ್,0
37 m,0
yen guru nam kannada film industry na yellaru seri bere level ge tagondu hogthaa iddare superb music,0
jai d boss,0
